nombre_taller,telefono,movil_whatsapp,direccion,codigo_postal,ciudad,provincia,descripcion,web,horario,activo,verificado,observaciones_verificacion,fuente
TAKUMISAN,961 11 53 56,,"Av. de Picassent, 19",46460,Silla,Valencia,Mecánica de automóviles y camiones. Servicios públicos localizados: Reparación de automóviles; reparación y mantenimiento de camiones,https://takumisan.com,L-V 08:30-14:00 y 15:30-18:30; S-D cerrado,false,false,Datos recientes; contactar antes de publicar. Ficha actualizada en julio de 2026.,https://www.cylex.es/silla/takumisan-13060076.html
Silla Neumáticos José Berruezo e Hijos (Euromaster),961 20 07 05,,"Carrer de Massanassa, 5",46460,Silla,Valencia,Neumáticos y mecánica rápida. Servicios públicos localizados: Neumáticos; mantenimiento; mecánica rápida; aceite; baterías; vehículos y camiones,https://www.euromaster-neumaticos.es/centros/comunidad-valenciana/silla/euromaster-silla-neumaticos-jose-berruezo-e-hijos-1,L-V 08:30-13:30 y 15:30-19:00; S-D cerrado,false,false,Datos recientes; contactar antes de publicar. Aparecía duplicado en el directorio; consolidado en una sola ficha.,https://www.cylex.es/silla/silla-neum%C3%A1ticos-jose-berruezo-e-hijos-2-11484230.html
Electro Coher,961 20 06 15,,"Avinguda d'Alacant, 126",46460,Silla,Valencia,Electricidad y electromecánica del automóvil. Servicios públicos localizados: Electricidad de vehículos; reparación de automóviles,,L-J 08:00-14:00 y 16:00-18:30; V 08:00-14:00; S-D cerrado,false,false,Datos recientes; contactar antes de publicar. Ficha actualizada en julio de 2026.,https://www.cylex.es/silla/electro-coher-11478873.html
Xvenir Carrera S.L.U.,961 11 66 00,692 49 22 11,"Av. Alborache, 13",46460,Silla,Valencia,"Chapa, pintura y mecánica. Servicios públicos localizados: Chapa; pintura; mecánica; gestión de reparaciones con aseguradoras",https://www.xvenircarrera.com,L-J 08:30-14:00 y 15:30-18:30; V 08:30-15:30; S-D cerrado,false,false,Datos recientes; contactar antes de publicar. Web propia y teléfono móvil público.,https://www.xvenircarrera.com/
Auto-Taller Silla C.B.,961 20 13 52,636 16 40 75,"Carrer del Molinell, 7",46460,Silla,Valencia,"Mecánica, electricidad, chapa y pintura. Servicios públicos localizados: Mecánica; electricidad; plancha y pintura",,L-V 08:30-14:00 y 15:30-19:00; S-D cerrado,false,false,"Datos recientes; confirmar móvil. El móvil procede del directorio empresarial municipal; el fijo y horario, de Cylex.",https://www.cylex.es/silla/auto-taller-silla-c-b--11508855.html
Crisentimotor,961 20 06 57,,"Carrer de la Santíssima Trinitat, 12",46460,Silla,Valencia,Taller mecánico multimarca. Servicios públicos localizados: Mecánica general y reparación de automóviles,https://crisentimotor.lawebdetutaller.com,L-V 08:30-14:00 y 16:00-19:00; S-D cerrado,false,false,Datos recientes; contactar antes de publicar. Posible relación o sustitución del antiguo registro Talleres Bartom.,https://www.cylex.es/silla/crisentimotor-13549037.html
Talleres Juan Simarro,961 20 09 27,663 98 30 84,"Av. d'Ausiàs March, 9",46460,Silla,Valencia,Mecánica general. Servicios públicos localizados: Reparación de automóviles; mecánica general,,L-J 08:00-14:00 y 16:00-19:30; V 08:00-14:00 y 16:00-19:00; S-D cerrado,false,false,"Datos recientes; contactar antes de publicar. No confundir con el registro Simarro Gascón, J. de otra dirección.",https://www.cylex.es/silla/talleres-juan-simarro-11834297.html
Francisco Morilla S.L.,961 20 17 39,,"Avinguda d'Alacant, 134",46460,Silla,Valencia,Taller mecánico multimarca / Eurorepar. Servicios públicos localizados: Mecánica general; mantenimiento y reparación de automóviles,https://www.eurorepar.es,L-V 08:00-14:00 y 15:30-19:30; S-D cerrado,false,false,"Datos recientes; localizar ficha web exacta. El enlace web publicado lleva a la red Eurorepar, no necesariamente a una ficha individual.",https://www.cylex.es/silla/francisco-morilla-s-l--12386756.html
Joicar Multiauto,961 21 87 85,,"Carrer del Primer de Maig, 6",46460,Silla,Valencia,"Taller, neumáticos y lavado. Servicios públicos localizados: Mecánica; neumáticos; bombas inyectoras; frenos; distribución; aceite; lavado y tapicerías",,L-V 08:00-14:00 y 16:00-19:00; S-D cerrado,false,false,Datos recientes; contactar antes de publicar. Los servicios se han contrastado con QDQ y Talleres.biz.,https://www.cylex.es/silla/joicar-multiauto-13301025.html
Tainivol S.L.,961 21 18 72,,"Avinguda d'Alacant, 22",46460,Silla,Valencia,Taller mecánico y reparación de remolques. Servicios públicos localizados: Mecánica; reparación de remolques,,L-V 08:30-15:00; S-D cerrado,false,false,Datos recientes; confirmar tipo de cliente. Otra fuente indica horario partido 08:00-14:00 y 15:00-18:00; conviene confirmar.,https://www.cylex.es/silla/tainivol--s-l--12435073.html
Talleres Voramar,,635 68 56 60,"Carrer d'Alfafar, 1",46460,Silla,Valencia,Taller de automóviles. Servicios públicos localizados: Reparación de automóviles,,L-V 09:00-14:00 y 16:00-20:00; S 09:00-13:30; D cerrado,false,false,Datos recientes; contactar antes de publicar. Móvil público; posible uso de WhatsApp no confirmado.,https://www.cylex.es/silla/talleres-voramar-13091132.html
Boni Reparación,,687 69 11 19,Servicio móvil / dirección no publicada,46460,Silla,Valencia,"Vehículos industriales y maquinaria. Servicios públicos localizados: Reparación de vehículos industriales, agrícolas y maquinaria de obra pública",https://bonireparacion.es,"24 horas, todos los días (según directorio)",false,false,Confirmar dirección y disponibilidad 24 h. Parece servicio móvil; no consta domicilio público exacto.,https://www.cylex.es/silla/boni-reparaci%C3%B3n-14509486.html
Inrema S.L.,961 21 95 70,,"Carrer del Molinell, 8-10",46460,Silla,Valencia,Mantenimiento y reparación industrial / taller. Servicios públicos localizados: Mantenimiento y suministros industriales; figura también como taller mecánico,http://inrema.es,L-V 08:30-13:30 y 15:00-18:00; S-D cerrado,false,false,Confirmar que atiende automóviles particulares. Puede ser principalmente industrial; no publicar como taller de coches sin confirmación.,https://www.cylex.es/silla/inrema-s-l--11673050.html
Rafael Albert Tormos,961 20 27 08,,"Plaça del Mercat Nou, 5",46460,Silla,Valencia,Reparación de automóviles. Servicios públicos localizados: Reparación de automóviles,,,false,false,Verificar existencia y horario. Ficha sin horario y con actualización antigua.,https://www.cylex.es/silla/rafael-albert-tormos-11801404.html
Electromecánica Ibáñez S.L.,961 20 01 73,,"Avinguda d'Alacant, 102",46460,Silla,Valencia,Electromecánica y reparación de automóviles. Servicios públicos localizados: Electromecánica; reparación de automóviles,,,false,false,Verificar existencia y horario. Ficha sin horario y con actualización antigua.,https://www.cylex.es/silla/electromec%C3%A1nica-ib%C3%A1%C3%B1ez-s-l--12099847.html
Talleres Els Barqueres,961 20 07 32,699 47 00 28,"Av. de la Séquia Real del Xúquer, 40",46460,Silla,Valencia,"Chapa, pintura y reparación de automóviles. Servicios públicos localizados: Chapa; pintura; reparación de automóviles",,,false,false,Confirmar teléfonos y horario. Dos teléfonos aparecen en directorios distintos.,https://www.cylex.es/silla/talleres-mec%C3%A1nicos/?p=2
Ferto S.A. (Silla),961 21 43 09,,"Carrer del Penyagolosa, 11 (P.I. Pla dels Olivars)",46460,Silla,Valencia,"Mecánica, chapa y pintura. Servicios públicos localizados: Mantenimiento; mecánica; inyección gasolina y diésel; chapa y pintura; aire acondicionado; neumáticos; pre-ITV; cajas automáticas",,,false,false,Confirmar horario y web. Dirección y teléfono aparecen en directorios de talleres y documentos de aseguradoras.,https://www.autingo.es/taller-mecanico/valencia/silla
Silla Motors,961 20 02 66,,"Av. de la Séquia Real del Xúquer, 16",46460,Silla,Valencia,Taller de automóviles. Servicios públicos localizados: Reparación y mantenimiento de automóviles,,,false,false,"Confirmar dirección exacta. QDQ muestra una dirección diferente (Av. País Valencià, 126); la dirección seleccionada coincide con dos directorios y el portal municipal.",https://www.tallerity.com/info/silla-motors-silla
Talleres Bartom,961 20 06 57,,"Carrer de la Santíssima Trinitat, 16",46460,Silla,Valencia,Taller mecánico (registro antiguo). Servicios públicos localizados: Taller mecánico,,,false,false,Posible duplicado; no publicar. Comparte teléfono con Crisentimotor y está a pocos metros; probablemente registro antiguo o duplicado.,https://www.cylex.es/silla/talleres-bartom-12435078.html
Hermanos Celda Ferrer C.B.,,,"Av. País Valencià, 6",46460,Silla,Valencia,Taller mecánico. Servicios públicos localizados: Taller mecánico,,,false,false,"Verificar teléfono, horario y actividad. Directorio indica que no pertenece a su red; datos limitados.",https://www.autingo.es/taller-mecanico/valencia/silla/hermanos-celda-ferrer-c-b
Ximo Magallo y Cía. S.A.,,,"Av. dels Reis Catòlics, 4",46460,Silla,Valencia,Taller mecánico. Servicios públicos localizados: Taller mecánico,,,false,false,"Verificar existencia, teléfono y horario. Solo localizado en un directorio de talleres.",https://www.autingo.es/taller-mecanico/valencia/silla
