nombre,imagen_placeholder,placeholder_publicable,imagen_publica_referencia,url_imagen_publica,pagina_fuente_imagen,permiso_foto_real,estado_imagen,fecha_revision_imagen
TAKUMISAN,imagenes_placeholder/01-takumisan.jpg,sí,,https://talleraqui.com/im/images/30f7aabe-3944-494f-909d-b094d9003938.jpeg?f=webp&w=256,https://takumisan.com/,pendiente,Referencia pública localizada por URL; no publicar sin autorización del titular,2026-07-24
Silla Neumáticos José Berruezo e Hijos (Euromaster),imagenes_placeholder/02-silla-neumaticos-jose-berruezo-e-hijos-euromaster.jpg,sí,,https://talleraqui.com/im/images/1e28a3ee-7ac0-4822-aeb6-13d37b88016a.jpeg?f=webp&w=256,https://www.euromaster-neumaticos.es/centros/comunidad-valenciana/silla/euromaster-silla,pendiente,Referencia pública localizada por URL; no publicar sin autorización del titular,2026-07-24
Electro Coher,imagenes_placeholder/03-electro-coher.jpg,sí,,https://talleraqui.com/im/images/f0081496-4a44-4f19-a458-6346453088a2.jpeg?f=webp&w=256,https://talleraqui.com/taller/electro-coher,pendiente,Referencia pública localizada por URL; no publicar sin autorización del titular,2026-07-24
Xvenir Carrera S.L.U.,imagenes_placeholder/04-xvenir-carrera-s-l-u.jpg,sí,imagenes_publicas/xvenir-carrera.jpg,"https://www.xvenircarrera.com/wp-content/uploads/go-x/u/abfd71ef-df61-4ffe-998e-4fdb764f0bf3/l0,t0,w803,h320/image.jpg",https://www.xvenircarrera.com/,pendiente,Referencia pública descargada; no publicar sin autorización del titular,2026-07-24
Auto-Taller Silla C.B.,imagenes_placeholder/05-auto-taller-silla-c-b.jpg,sí,imagenes_publicas/auto-taller-silla.webp,https://talleraqui.com/im/images/ec192c5c-07ee-43f2-9f43-20345c9ea7ab.jpeg?f=webp&w=256,https://talleraqui.com/taller/auto-taller-silla-cb,pendiente,Referencia pública descargada; no publicar sin autorización del titular,2026-07-24
Crisentimotor,imagenes_placeholder/06-crisentimotor.jpg,sí,,https://talleraqui.com/im/images/28d91a59-6111-49a9-b43a-8f9865e880f9.jpeg?f=webp&w=256,https://crisentimotor.com/,pendiente,Referencia pública localizada por URL; no publicar sin autorización del titular,2026-07-24
Talleres Juan Simarro,imagenes_placeholder/07-talleres-juan-simarro.jpg,sí,imagenes_publicas/talleres-juan-simarro.webp,https://talleraqui.com/im/images/671bcc4b-6ff4-49be-a16e-6ef23108e9b1.jpeg?f=webp&w=256,https://talleraqui.com/taller/talleres-juan-simarro,pendiente,Referencia pública descargada; no publicar sin autorización del titular,2026-07-24
Francisco Morilla S.L.,imagenes_placeholder/08-francisco-morilla-s-l.jpg,sí,,https://talleraqui.com/im/images/1d10e338-8d38-471b-a1ca-33790191fb20.jpeg?f=webp&w=256,https://www.eurorepar.es/taller-francisco-morilla-s-l-silla-12191.html,pendiente,Referencia pública localizada por URL; no publicar sin autorización del titular,2026-07-24
Joicar Multiauto,imagenes_placeholder/09-joicar-multiauto.jpg,sí,,https://talleraqui.com/im/images/6337b639-dfd4-41ba-b4fb-89f8a52080ce.jpeg?f=webp&w=256,https://talleraqui.com/taller/joicar-multiauto,pendiente,Referencia pública localizada por URL; no publicar sin autorización del titular,2026-07-24
Tainivol S.L.,imagenes_placeholder/10-tainivol-s-l.jpg,sí,,https://talleraqui.com/im/images/f41bf0bf-b48b-4fe7-bd83-e5c35e9286a2.jpeg?f=webp&w=256,https://talleraqui.com/taller/tainivol-sl,pendiente,Referencia pública localizada por URL; no publicar sin autorización del titular,2026-07-24
Talleres Voramar,imagenes_placeholder/11-talleres-voramar.jpg,sí,,https://talleraqui.com/im/images/1ea3b8f6-bbd0-412a-a769-3bd1284ee3f1.jpeg?f=webp&w=256,https://talleraqui.com/taller/talleres-voramar,pendiente,Referencia pública localizada por URL; no publicar sin autorización del titular,2026-07-24
Boni Reparación,imagenes_placeholder/12-boni-reparacion.jpg,sí,,,,pendiente,No se localizó una foto pública fiable; usar imagen provisional,2026-07-24
Inrema S.L.,imagenes_placeholder/13-inrema-s-l.jpg,sí,,,,pendiente,No se localizó una foto pública fiable; usar imagen provisional,2026-07-24
Rafael Albert Tormos,imagenes_placeholder/14-rafael-albert-tormos.jpg,sí,,,,pendiente,No se localizó una foto pública fiable; usar imagen provisional,2026-07-24
Electromecánica Ibáñez S.L.,imagenes_placeholder/15-electromecanica-ibanez-s-l.jpg,sí,,,,pendiente,No se localizó una foto pública fiable; usar imagen provisional,2026-07-24
Talleres Els Barqueres,imagenes_placeholder/16-talleres-els-barqueres.jpg,sí,,https://talleraqui.com/im/images/448e4ba3-a4db-4cd2-8d22-0e035a1e7b76.jpeg?f=webp&w=256,https://talleraqui.com/taller/talleres-els-barqueres,pendiente,Referencia pública localizada por URL; no publicar sin autorización del titular,2026-07-24
Ferto S.A. (Silla),imagenes_placeholder/17-ferto-s-a-silla.jpg,sí,,https://talleraqui.com/im/images/46bd75c7-8255-4453-bbad-54860d2f8cbb.jpeg?f=webp&w=256,https://talleraqui.com/taller/ferto-sa-silla,pendiente,Referencia pública localizada por URL; no publicar sin autorización del titular,2026-07-24
Silla Motors,imagenes_placeholder/18-silla-motors.jpg,sí,,,,pendiente,No se localizó una foto pública fiable; usar imagen provisional,2026-07-24
Talleres Bartom,imagenes_placeholder/19-talleres-bartom.jpg,sí,,,,pendiente,No se localizó una foto pública fiable; usar imagen provisional,2026-07-24
Hermanos Celda Ferrer C.B.,imagenes_placeholder/20-hermanos-celda-ferrer-c-b.jpg,sí,,,,pendiente,No se localizó una foto pública fiable; usar imagen provisional,2026-07-24
Ximo Magallo y Cía. S.A.,imagenes_placeholder/21-ximo-magallo-y-cia-s-a.jpg,sí,,,,pendiente,No se localizó una foto pública fiable; usar imagen provisional,2026-07-24
