nombre,categoria,direccion,cp,ciudad,provincia,telefono,movil_whatsapp,email,web,horario,servicios,valoracion,num_opiniones,calidad,estado_revision,observaciones,mapa,fecha_recopilacion,fuente_1,fuente_2,imagen_placeholder,placeholder_publicable,imagen_publica_referencia,url_imagen_publica,pagina_fuente_imagen,permiso_foto_real,estado_imagen,fecha_revision_imagen
TAKUMISAN,Mecánica de automóviles y camiones,"Av. de Picassent, 19",46460,Silla,Valencia,961 11 53 56,,,https://takumisan.com,L-V 08:30-14:00 y 15:30-18:30; S-D cerrado,Reparación de automóviles; reparación y mantenimiento de camiones,4.63,247,Alta,Datos recientes; contactar antes de publicar,Ficha actualizada en julio de 2026.,https://www.google.com/maps/search/?api=1&query=TAKUMISAN+Av.+de+Picassent%2C+19+Silla+Valencia,2026-07-23,https://www.cylex.es/silla/takumisan-13060076.html,,imagenes_placeholder/01-takumisan.jpg,sí,,https://talleraqui.com/im/images/30f7aabe-3944-494f-909d-b094d9003938.jpeg?f=webp&w=256,https://takumisan.com/,pendiente,Referencia pública localizada por URL; no publicar sin autorización del titular,2026-07-24
Silla Neumáticos José Berruezo e Hijos (Euromaster),Neumáticos y mecánica rápida,"Carrer de Massanassa, 5",46460,Silla,Valencia,961 20 07 05,,,https://www.euromaster-neumaticos.es/centros/comunidad-valenciana/silla/euromaster-silla-neumaticos-jose-berruezo-e-hijos-1,L-V 08:30-13:30 y 15:30-19:00; S-D cerrado,Neumáticos; mantenimiento; mecánica rápida; aceite; baterías; vehículos y camiones,4.59,174,Alta,Datos recientes; contactar antes de publicar,Aparecía duplicado en el directorio; consolidado en una sola ficha.,https://www.google.com/maps/search/?api=1&query=Silla+Neum%C3%A1ticos+Jos%C3%A9+Berruezo+e+Hijos+%28Euromaster%29+Carrer+de+Massanassa%2C+5+Silla+Valencia,2026-07-23,https://www.cylex.es/silla/silla-neum%C3%A1ticos-jose-berruezo-e-hijos-2-11484230.html,https://www.paginasamarillas.es/a/recambios-automovil/valencia/silla/,imagenes_placeholder/02-silla-neumaticos-jose-berruezo-e-hijos-euromaster.jpg,sí,,https://talleraqui.com/im/images/1e28a3ee-7ac0-4822-aeb6-13d37b88016a.jpeg?f=webp&w=256,https://www.euromaster-neumaticos.es/centros/comunidad-valenciana/silla/euromaster-silla,pendiente,Referencia pública localizada por URL; no publicar sin autorización del titular,2026-07-24
Electro Coher,Electricidad y electromecánica del automóvil,"Avinguda d'Alacant, 126",46460,Silla,Valencia,961 20 06 15,,,,L-J 08:00-14:00 y 16:00-18:30; V 08:00-14:00; S-D cerrado,Electricidad de vehículos; reparación de automóviles,4.6,99,Alta,Datos recientes; contactar antes de publicar,Ficha actualizada en julio de 2026.,https://www.google.com/maps/search/?api=1&query=Electro+Coher+Avinguda+d%27Alacant%2C+126+Silla+Valencia,2026-07-23,https://www.cylex.es/silla/electro-coher-11478873.html,,imagenes_placeholder/03-electro-coher.jpg,sí,,https://talleraqui.com/im/images/f0081496-4a44-4f19-a458-6346453088a2.jpeg?f=webp&w=256,https://talleraqui.com/taller/electro-coher,pendiente,Referencia pública localizada por URL; no publicar sin autorización del titular,2026-07-24
Xvenir Carrera S.L.U.,"Chapa, pintura y mecánica","Av. Alborache, 13",46460,Silla,Valencia,961 11 66 00,692 49 22 11,,https://www.xvenircarrera.com,L-J 08:30-14:00 y 15:30-18:30; V 08:30-15:30; S-D cerrado,Chapa; pintura; mecánica; gestión de reparaciones con aseguradoras,4.61,108,Alta,Datos recientes; contactar antes de publicar,Web propia y teléfono móvil público.,https://www.google.com/maps/search/?api=1&query=Xvenir+Carrera+S.L.U.+Av.+Alborache%2C+13+Silla+Valencia,2026-07-23,https://www.xvenircarrera.com/,https://www.cylex.es/silla/xvenir-carrera-s-l-u--13045506.html,imagenes_placeholder/04-xvenir-carrera-s-l-u.jpg,sí,imagenes_publicas/xvenir-carrera.jpg,"https://www.xvenircarrera.com/wp-content/uploads/go-x/u/abfd71ef-df61-4ffe-998e-4fdb764f0bf3/l0,t0,w803,h320/image.jpg",https://www.xvenircarrera.com/,pendiente,Referencia pública descargada; no publicar sin autorización del titular,2026-07-24
Auto-Taller Silla C.B.,"Mecánica, electricidad, chapa y pintura","Carrer del Molinell, 7",46460,Silla,Valencia,961 20 13 52,636 16 40 75,,,L-V 08:30-14:00 y 15:30-19:00; S-D cerrado,Mecánica; electricidad; plancha y pintura,4.6,68,Alta,Datos recientes; confirmar móvil,"El móvil procede del directorio empresarial municipal; el fijo y horario, de Cylex.",https://www.google.com/maps/search/?api=1&query=Auto-Taller+Silla+C.B.+Carrer+del+Molinell%2C+7+Silla+Valencia,2026-07-23,https://www.cylex.es/silla/auto-taller-silla-c-b--11508855.html,https://sillaempresas.es/es/areas/ver/magallo-industrial/9,imagenes_placeholder/05-auto-taller-silla-c-b.jpg,sí,imagenes_publicas/auto-taller-silla.webp,https://talleraqui.com/im/images/ec192c5c-07ee-43f2-9f43-20345c9ea7ab.jpeg?f=webp&w=256,https://talleraqui.com/taller/auto-taller-silla-cb,pendiente,Referencia pública descargada; no publicar sin autorización del titular,2026-07-24
Crisentimotor,Taller mecánico multimarca,"Carrer de la Santíssima Trinitat, 12",46460,Silla,Valencia,961 20 06 57,,,https://crisentimotor.lawebdetutaller.com,L-V 08:30-14:00 y 16:00-19:00; S-D cerrado,Mecánica general y reparación de automóviles,4.8,70,Alta,Datos recientes; contactar antes de publicar,Posible relación o sustitución del antiguo registro Talleres Bartom.,https://www.google.com/maps/search/?api=1&query=Crisentimotor+Carrer+de+la+Sant%C3%ADssima+Trinitat%2C+12+Silla+Valencia,2026-07-23,https://www.cylex.es/silla/crisentimotor-13549037.html,,imagenes_placeholder/06-crisentimotor.jpg,sí,,https://talleraqui.com/im/images/28d91a59-6111-49a9-b43a-8f9865e880f9.jpeg?f=webp&w=256,https://crisentimotor.com/,pendiente,Referencia pública localizada por URL; no publicar sin autorización del titular,2026-07-24
Talleres Juan Simarro,Mecánica general,"Av. d'Ausiàs March, 9",46460,Silla,Valencia,961 20 09 27,663 98 30 84,,,L-J 08:00-14:00 y 16:00-19:30; V 08:00-14:00 y 16:00-19:00; S-D cerrado,Reparación de automóviles; mecánica general,4.5,54,Alta,Datos recientes; contactar antes de publicar,"No confundir con el registro Simarro Gascón, J. de otra dirección.",https://www.google.com/maps/search/?api=1&query=Talleres+Juan+Simarro+Av.+d%27Ausi%C3%A0s+March%2C+9+Silla+Valencia,2026-07-23,https://www.cylex.es/silla/talleres-juan-simarro-11834297.html,,imagenes_placeholder/07-talleres-juan-simarro.jpg,sí,imagenes_publicas/talleres-juan-simarro.webp,https://talleraqui.com/im/images/671bcc4b-6ff4-49be-a16e-6ef23108e9b1.jpeg?f=webp&w=256,https://talleraqui.com/taller/talleres-juan-simarro,pendiente,Referencia pública descargada; no publicar sin autorización del titular,2026-07-24
Francisco Morilla S.L.,Taller mecánico multimarca / Eurorepar,"Avinguda d'Alacant, 134",46460,Silla,Valencia,961 20 17 39,,,https://www.eurorepar.es,L-V 08:00-14:00 y 15:30-19:30; S-D cerrado,Mecánica general; mantenimiento y reparación de automóviles,4.6,32,Alta,Datos recientes; localizar ficha web exacta,"El enlace web publicado lleva a la red Eurorepar, no necesariamente a una ficha individual.",https://www.google.com/maps/search/?api=1&query=Francisco+Morilla+S.L.+Avinguda+d%27Alacant%2C+134+Silla+Valencia,2026-07-23,https://www.cylex.es/silla/francisco-morilla-s-l--12386756.html,https://www.qdq.com/francisco-morilla-sl-1029941,imagenes_placeholder/08-francisco-morilla-s-l.jpg,sí,,https://talleraqui.com/im/images/1d10e338-8d38-471b-a1ca-33790191fb20.jpeg?f=webp&w=256,https://www.eurorepar.es/taller-francisco-morilla-s-l-silla-12191.html,pendiente,Referencia pública localizada por URL; no publicar sin autorización del titular,2026-07-24
Joicar Multiauto,"Taller, neumáticos y lavado","Carrer del Primer de Maig, 6",46460,Silla,Valencia,961 21 87 85,,,,L-V 08:00-14:00 y 16:00-19:00; S-D cerrado,Mecánica; neumáticos; bombas inyectoras; frenos; distribución; aceite; lavado y tapicerías,,,Alta,Datos recientes; contactar antes de publicar,Los servicios se han contrastado con QDQ y Talleres.biz.,https://www.google.com/maps/search/?api=1&query=Joicar+Multiauto+Carrer+del+Primer+de+Maig%2C+6+Silla+Valencia,2026-07-23,https://www.cylex.es/silla/joicar-multiauto-13301025.html,https://www.qdq.com/talleres-joicar-multiauto-93325,imagenes_placeholder/09-joicar-multiauto.jpg,sí,,https://talleraqui.com/im/images/6337b639-dfd4-41ba-b4fb-89f8a52080ce.jpeg?f=webp&w=256,https://talleraqui.com/taller/joicar-multiauto,pendiente,Referencia pública localizada por URL; no publicar sin autorización del titular,2026-07-24
Tainivol S.L.,Taller mecánico y reparación de remolques,"Avinguda d'Alacant, 22",46460,Silla,Valencia,961 21 18 72,,,,L-V 08:30-15:00; S-D cerrado,Mecánica; reparación de remolques,4.6,100,Alta,Datos recientes; confirmar tipo de cliente,Otra fuente indica horario partido 08:00-14:00 y 15:00-18:00; conviene confirmar.,https://www.google.com/maps/search/?api=1&query=Tainivol+S.L.+Avinguda+d%27Alacant%2C+22+Silla+Valencia,2026-07-23,https://www.cylex.es/silla/tainivol--s-l--12435073.html,https://comparayrepara.com/comunidad-valenciana/valencia/silla/tainivol-s-l/,imagenes_placeholder/10-tainivol-s-l.jpg,sí,,https://talleraqui.com/im/images/f41bf0bf-b48b-4fe7-bd83-e5c35e9286a2.jpeg?f=webp&w=256,https://talleraqui.com/taller/tainivol-sl,pendiente,Referencia pública localizada por URL; no publicar sin autorización del titular,2026-07-24
Talleres Voramar,Taller de automóviles,"Carrer d'Alfafar, 1",46460,Silla,Valencia,,635 68 56 60,,,L-V 09:00-14:00 y 16:00-20:00; S 09:00-13:30; D cerrado,Reparación de automóviles,,,Alta,Datos recientes; contactar antes de publicar,Móvil público; posible uso de WhatsApp no confirmado.,https://www.google.com/maps/search/?api=1&query=Talleres+Voramar+Carrer+d%27Alfafar%2C+1+Silla+Valencia,2026-07-23,https://www.cylex.es/silla/talleres-voramar-13091132.html,,imagenes_placeholder/11-talleres-voramar.jpg,sí,,https://talleraqui.com/im/images/1ea3b8f6-bbd0-412a-a769-3bd1284ee3f1.jpeg?f=webp&w=256,https://talleraqui.com/taller/talleres-voramar,pendiente,Referencia pública localizada por URL; no publicar sin autorización del titular,2026-07-24
Boni Reparación,Vehículos industriales y maquinaria,Servicio móvil / dirección no publicada,46460,Silla,Valencia,,687 69 11 19,,https://bonireparacion.es,"24 horas, todos los días (según directorio)","Reparación de vehículos industriales, agrícolas y maquinaria de obra pública",,,Media,Confirmar dirección y disponibilidad 24 h,Parece servicio móvil; no consta domicilio público exacto.,https://www.google.com/maps/search/?api=1&query=Boni+Reparaci%C3%B3n+Servicio+m%C3%B3vil+%2F+direcci%C3%B3n+no+publicada+Silla+Valencia,2026-07-23,https://www.cylex.es/silla/boni-reparaci%C3%B3n-14509486.html,https://bonireparacion.es,imagenes_placeholder/12-boni-reparacion.jpg,sí,,,,pendiente,No se localizó una foto pública fiable; usar imagen provisional,2026-07-24
Inrema S.L.,Mantenimiento y reparación industrial / taller,"Carrer del Molinell, 8-10",46460,Silla,Valencia,961 21 95 70,,,http://inrema.es,L-V 08:30-13:30 y 15:00-18:00; S-D cerrado,Mantenimiento y suministros industriales; figura también como taller mecánico,,,Media,Confirmar que atiende automóviles particulares,Puede ser principalmente industrial; no publicar como taller de coches sin confirmación.,https://www.google.com/maps/search/?api=1&query=Inrema+S.L.+Carrer+del+Molinell%2C+8-10+Silla+Valencia,2026-07-23,https://www.cylex.es/silla/inrema-s-l--11673050.html,https://firmania.es/silla/inrema-sl-750235,imagenes_placeholder/13-inrema-s-l.jpg,sí,,,,pendiente,No se localizó una foto pública fiable; usar imagen provisional,2026-07-24
Rafael Albert Tormos,Reparación de automóviles,"Plaça del Mercat Nou, 5",46460,Silla,Valencia,961 20 27 08,,,,,Reparación de automóviles,,,Baja,Verificar existencia y horario,Ficha sin horario y con actualización antigua.,https://www.google.com/maps/search/?api=1&query=Rafael+Albert+Tormos+Pla%C3%A7a+del+Mercat+Nou%2C+5+Silla+Valencia,2026-07-23,https://www.cylex.es/silla/rafael-albert-tormos-11801404.html,,imagenes_placeholder/14-rafael-albert-tormos.jpg,sí,,,,pendiente,No se localizó una foto pública fiable; usar imagen provisional,2026-07-24
Electromecánica Ibáñez S.L.,Electromecánica y reparación de automóviles,"Avinguda d'Alacant, 102",46460,Silla,Valencia,961 20 01 73,,,,,Electromecánica; reparación de automóviles,,,Baja,Verificar existencia y horario,Ficha sin horario y con actualización antigua.,https://www.google.com/maps/search/?api=1&query=Electromec%C3%A1nica+Ib%C3%A1%C3%B1ez+S.L.+Avinguda+d%27Alacant%2C+102+Silla+Valencia,2026-07-23,https://www.cylex.es/silla/electromec%C3%A1nica-ib%C3%A1%C3%B1ez-s-l--12099847.html,,imagenes_placeholder/15-electromecanica-ibanez-s-l.jpg,sí,,,,pendiente,No se localizó una foto pública fiable; usar imagen provisional,2026-07-24
Talleres Els Barqueres,"Chapa, pintura y reparación de automóviles","Av. de la Séquia Real del Xúquer, 40",46460,Silla,Valencia,961 20 07 32,699 47 00 28,,,,Chapa; pintura; reparación de automóviles,,,Media,Confirmar teléfonos y horario,Dos teléfonos aparecen en directorios distintos.,https://www.google.com/maps/search/?api=1&query=Talleres+Els+Barqueres+Av.+de+la+S%C3%A9quia+Real+del+X%C3%BAquer%2C+40+Silla+Valencia,2026-07-23,https://www.cylex.es/silla/talleres-mec%C3%A1nicos/?p=2,https://www.tallerity.com/info/talleres-els-barqueres-silla,imagenes_placeholder/16-talleres-els-barqueres.jpg,sí,,https://talleraqui.com/im/images/448e4ba3-a4db-4cd2-8d22-0e035a1e7b76.jpeg?f=webp&w=256,https://talleraqui.com/taller/talleres-els-barqueres,pendiente,Referencia pública localizada por URL; no publicar sin autorización del titular,2026-07-24
Ferto S.A. (Silla),"Mecánica, chapa y pintura","Carrer del Penyagolosa, 11 (P.I. Pla dels Olivars)",46460,Silla,Valencia,961 21 43 09,,,,,Mantenimiento; mecánica; inyección gasolina y diésel; chapa y pintura; aire acondicionado; neumáticos; pre-ITV; cajas automáticas,4.2,,Alta,Confirmar horario y web,Dirección y teléfono aparecen en Autingo y en el listado de negocios cercanos de Cylex.,https://www.google.com/maps/search/?api=1&query=Ferto+S.A.+%28Silla%29+Carrer+del+Penyagolosa%2C+11+%28P.I.+Pla+dels+Olivars%29+Silla+Valencia,2026-07-23,https://www.autingo.es/taller-mecanico/valencia/silla,https://www.cylex.es/silla/takumisan-13060076.html,imagenes_placeholder/17-ferto-s-a-silla.jpg,sí,,https://talleraqui.com/im/images/46bd75c7-8255-4453-bbad-54860d2f8cbb.jpeg?f=webp&w=256,https://talleraqui.com/taller/ferto-sa-silla,pendiente,Referencia pública localizada por URL; no publicar sin autorización del titular,2026-07-24
Silla Motors,Taller de automóviles,"Av. de la Séquia Real del Xúquer, 16",46460,Silla,Valencia,961 20 02 66,,,,,Reparación y mantenimiento de automóviles,,,Media,Confirmar dirección exacta,"QDQ muestra una dirección diferente (Av. País Valencià, 126); la dirección seleccionada coincide con dos directorios y el portal municipal.",https://www.google.com/maps/search/?api=1&query=Silla+Motors+Av.+de+la+S%C3%A9quia+Real+del+X%C3%BAquer%2C+16+Silla+Valencia,2026-07-23,https://www.tallerity.com/info/silla-motors-silla,https://www.qdq.com/silla-motors-930653,imagenes_placeholder/18-silla-motors.jpg,sí,,,,pendiente,No se localizó una foto pública fiable; usar imagen provisional,2026-07-24
Talleres Bartom,Taller mecánico (registro antiguo),"Carrer de la Santíssima Trinitat, 16",46460,Silla,Valencia,961 20 06 57,,,,,Taller mecánico,,,Baja,Posible duplicado; no publicar,Comparte teléfono con Crisentimotor y está a pocos metros; probablemente registro antiguo o duplicado.,https://www.google.com/maps/search/?api=1&query=Talleres+Bartom+Carrer+de+la+Sant%C3%ADssima+Trinitat%2C+16+Silla+Valencia,2026-07-23,https://www.cylex.es/silla/talleres-bartom-12435078.html,,imagenes_placeholder/19-talleres-bartom.jpg,sí,,,,pendiente,No se localizó una foto pública fiable; usar imagen provisional,2026-07-24
Hermanos Celda Ferrer C.B.,Taller mecánico,"Av. País Valencià, 6",46460,Silla,Valencia,,,,,,Taller mecánico,,,Baja,"Verificar teléfono, horario y actividad",Directorio indica que no pertenece a su red; datos limitados.,https://www.google.com/maps/search/?api=1&query=Hermanos+Celda+Ferrer+C.B.+Av.+Pa%C3%ADs+Valenci%C3%A0%2C+6+Silla+Valencia,2026-07-23,https://www.autingo.es/taller-mecanico/valencia/silla/hermanos-celda-ferrer-c-b,,imagenes_placeholder/20-hermanos-celda-ferrer-c-b.jpg,sí,,,,pendiente,No se localizó una foto pública fiable; usar imagen provisional,2026-07-24
Ximo Magallo y Cía. S.A.,Taller mecánico,"Av. dels Reis Catòlics, 4",46460,Silla,Valencia,,,,,,Taller mecánico,,,Baja,"Verificar existencia, teléfono y horario",Solo localizado en un directorio de talleres.,https://www.google.com/maps/search/?api=1&query=Ximo+Magallo+y+C%C3%ADa.+S.A.+Av.+dels+Reis+Cat%C3%B2lics%2C+4+Silla+Valencia,2026-07-23,https://www.autingo.es/taller-mecanico/valencia/silla,,imagenes_placeholder/21-ximo-magallo-y-cia-s-a.jpg,sí,,,,pendiente,No se localizó una foto pública fiable; usar imagen provisional,2026-07-24
